Flight ID,Departure date,Intl/Dome,Flight NO.,Departure airport,Arrival airport,Departure Time,Arrival Time,Airplane ID,Airplane Model,Air fares,Peak-season fares ,Off-season rates
1,42860,Dome,346,48,50,42860.51389,42860.63194,30,1,666,1167,531
2,42862,Dome,346,48,50,42862.51389,42862.63194,40,1,1350,2662,1214
3,42863,Dome,346,48,50,42863.51389,42863.63194,31,1,1656,2735,1601
4,42860,Dome,347,49,48,42860.875,42860.98958,59,2,1197,1960,838
5,42861,Dome,346,48,50,42861.51389,42861.63194,40,1,1671,2659,1559
6,42861,Dome,344,68,49,42861.46875,42861.55903,6,2,642,735,454
7,42863,Dome,344,68,49,42863.46875,42863.55903,129,2,609,888,462
8,42860,Dome,344,68,49,42860.46875,42860.55903,133,2,944,970,808
9,42860,Dome,345,50,48,42860.33681,42860.45833,30,1,1175,1692,933
10,42861,Dome,345,50,48,42861.33681,42861.45833,40,1,715,1106,501
11,42862,Dome,345,50,48,42862.33681,42862.45833,40,1,964,1095,737
12,42863,Dome,345,50,48,42863.33681,42863.45833,31,1,1107,2207,913
13,42860,Dome,348,48,49,42860.33681,42860.44792,103,2,594,700,455
14,42861,Dome,348,48,49,42861.33681,42861.44792,59,2,930,1581,789
15,42860,Dome,349,50,72,42860.3125,42860.43403,50,2,842,1350,623
16,42861,Dome,349,50,72,42861.3125,42861.43403,94,2,1373,1949,1353
17,42862,Dome,349,50,72,42862.3125,42862.43403,69,2,1206,1522,849
18,42863,Dome,349,50,72,42863.3125,42863.43403,135,2,1007,1783,813
19,42860,Intl,362,36,4,42860.53125,42861.05903,24,4,7259,7406,5343
20,42862,Dome,356,72,49,42862.63542,42862.74653,29,3,1653,2815,1209
21,42863,Dome,356,72,49,42863.63542,42863.74653,29,3,659,686,547
22,42862,Dome,354,71,32,42862.52083,42862.59375,92,2,1078,1328,908
23,42862,Dome,354,32,49,42862.63542,42862.69444,92,2,814,1116,723
24,42860,Dome,356,72,49,42860.63542,42860.74653,92,2,1264,1621,1057
25,42861,Dome,356,72,49,42861.63542,42861.74653,29,3,656,889,480
26,42860,Dome,364,50,72,42860.68403,42860.80903,76,2,787,1235,761
27,42861,Dome,364,50,72,42861.68403,42861.80903,101,2,1337,1948,976
28,42862,Dome,364,50,72,42862.68403,42862.80903,99,2,1611,2141,1236
29,42863,Dome,364,50,72,42863.68403,42863.80903,73,2,1036,1284,909
30,42862,Dome,352,68,49,42862.88542,42862.96528,41,1,416,530,292
31,42863,Dome,354,71,32,42863.52083,42863.59375,90,2,1022,1111,983
32,42863,Dome,354,32,49,42863.63542,42863.69444,90,2,484,859,381
33,42862,Dome,365,72,50,42862.85069,42862.96528,99,2,668,880,589
34,42860,Dome,357,50,67,42860.45139,42860.55556,33,1,649,824,624
35,42861,Dome,357,50,67,42861.45139,42861.55556,12,2,610,882,552
36,42862,Dome,357,50,67,42862.45139,42862.55556,15,2,1100,1654,1052
37,42863,Dome,357,50,67,42863.45139,42863.55556,74,2,1218,2105,1049
38,42863,Dome,352,68,49,42863.88542,42863.96528,30,1,638,829,458
39,42861,Dome,365,72,50,42861.85069,42861.96528,101,2,793,1036,788
40,42860,Dome,365,72,50,42860.85069,42860.96528,76,2,899,1393,785
41,42863,Dome,365,72,50,42863.85069,42863.96528,73,2,971,1697,886
42,42860,Dome,353,49,32,42860.30208,42860.36806,90,2,839,1444,660
43,42861,Dome,353,49,32,42861.30208,42861.36806,7,2,932,1401,820
